work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Entry-level/Junior,FT,Azure Data Engineer,100000,MU,0,MU,S
2020,Entry-level/Junior,CT,Staff Data Analyst,44753,CA,50,CA,L
2020,Senior-level/Expert,FT,Staff Data Scientist,164000,US,50,US,M
2020,Entry-level/Junior,FT,Data Analyst,47899,DE,0,DE,L
2020,Executive-level/Director,FT,Data Scientist,300000,US,100,US,L
2020,Mid-level/Intermediate,CT,Sales Data Analyst,60000,NG,0,NG,M
2020,Executive-level/Director,FT,Staff Data Analyst,15000,NG,0,CA,M
2020,Mid-level/Intermediate,FT,Business Data Analyst,95000,US,0,US,M
2020,Entry-level/Junior,FT,Data Analyst,22809,PT,100,PT,M
2020,Entry-level/Junior,FT,Data Scientist,49268,DE,0,DE,S
2020,Senior-level/Expert,FT,Machine Learning Manager,117104,CA,50,CA,L
2020,Entry-level/Junior,FT,Data Engineer,54742,PK,100,DE,L
2020,Mid-level/Intermediate,FT,Product Data Analyst,20000,HN,0,HN,S
2020,Mid-level/Intermediate,FT,Data Engineer,59303,DE,100,DE,S
2020,Entry-level/Junior,FT,Big Data Engineer,70000,US,100,US,L
2020,Senior-level/Expert,FT,Data Scientist,68428,GR,100,US,L
2020,Mid-level/Intermediate,FT,Research Scientist,450000,US,0,US,M
2020,Mid-level/Intermediate,FT,Data Analyst,46759,FR,50,FR,L
2020,Mid-level/Intermediate,FT,Data Engineer,74130,AT,50,AT,L
2020,Mid-level/Intermediate,FT,Data Scientist,103000,US,100,US,L
2020,Entry-level/Junior,FT,Machine Learning Engineer,250000,US,50,US,L
2020,Entry-level/Junior,FT,Machine Learning Engineer,138000,US,100,US,S
2020,Mid-level/Intermediate,FT,Data Scientist,45760,PH,100,US,S
2020,Executive-level/Director,FT,Data Engineer,79833,ES,50,ES,L
2020,Mid-level/Intermediate,FT,Machine Learning Infrastructure Engineer,50180,PT,0,PT,M
2020,Mid-level/Intermediate,FT,Data Engineer,106000,US,100,US,L
2020,Mid-level/Intermediate,FT,Data Engineer,112872,GB,50,GB,L
2020,Entry-level/Junior,PT,Machine Learning Engineer,15966,DE,100,DE,S
2020,Mid-level/Intermediate,FT,Data Scientist,76958,GB,100,GB,S
2020,Senior-level/Expert,FT,Data Engineer,188000,US,100,US,L
2020,Mid-level/Intermediate,FT,Data Scientist,105000,US,100,US,L
2020,Mid-level/Intermediate,FT,Data Engineer,70139,FR,50,FR,L
2020,Senior-level/Expert,FT,Data Engineer,33511,MX,0,MX,S
2020,Entry-level/Junior,FT,Data Analyst,91000,US,100,US,L
2020,Entry-level/Junior,FT,Research Scientist,42000,NL,50,NL,L
2020,Mid-level/Intermediate,FT,Lead Data Scientist,115000,AE,0,AE,L
2020,Senior-level/Expert,FT,Machine Learning Scientist,260000,JP,0,JP,S
2020,Senior-level/Expert,FT,Big Data Engineer,109024,GB,50,GB,M
2020,Mid-level/Intermediate,FT,Data Scientist,79833,DE,0,DE,L
2020,Senior-level/Expert,FT,Machine Learning Engineer,150000,US,50,US,L
2020,Entry-level/Junior,FT,Data Analyst,72000,US,100,US,L
2020,Senior-level/Expert,FT,Lead Data Scientist,190000,US,100,US,S
2020,Mid-level/Intermediate,FT,Data Scientist,35735,HU,50,HU,L
2020,Mid-level/Intermediate,FT,Business Data Analyst,135000,US,100,US,L
2020,Senior-level/Expert,FT,Lead Data Engineer,125000,NZ,50,NZ,S
2020,Entry-level/Junior,FT,Data Scientist,51321,FR,0,FR,S
2020,Mid-level/Intermediate,FT,Data Scientist,40481,IN,0,IN,L
2020,Entry-level/Junior,FT,Data Scientist,39916,FR,0,FR,M
2020,Mid-level/Intermediate,FT,Lead Data Analyst,87000,US,100,US,L
2020,Mid-level/Intermediate,FT,Data Analyst,85000,US,100,US,L
2020,Entry-level/Junior,FT,Data Engineer,41689,JP,100,JP,S
2020,Senior-level/Expert,FT,Big Data Engineer,114047,PL,100,GB,S
2020,Mid-level/Intermediate,FT,Lead Data Engineer,56000,PT,100,US,M
2020,Senior-level/Expert,FT,Data Engineer,47899,GR,50,GR,L
2020,Mid-level/Intermediate,FT,BI Data Analyst,98000,US,0,US,M
2020,Executive-level/Director,FT,Data Scientist,325000,US,100,US,L
2020,Entry-level/Junior,FT,AI Scientist,45896,DK,50,DK,S
2020,Mid-level/Intermediate,FT,Data Scientist,42197,FR,50,FR,S
2020,Entry-level/Junior,FT,Data Scientist,62726,DE,50,DE,S
2020,Entry-level/Junior,PT,Data Scientist,21669,IT,50,IT,S
2020,Mid-level/Intermediate,FT,Data Engineer,110000,US,100,US,L
2020,Senior-level/Expert,FT,Data Scientist,120000,US,50,US,L
2020,Senior-level/Expert,FL,Computer Vision Engineer,60000,RU,100,US,S
2020,Senior-level/Expert,FT,Principal Data Scientist,148261,DE,100,DE,M
2020,Mid-level/Intermediate,FT,Data Scientist,38776,ES,100,ES,M
2020,Senior-level/Expert,FT,Data Scientist,91237,AT,0,AT,S
2020,Mid-level/Intermediate,FT,Data Scientist,62726,FR,50,LU,S
2020,Senior-level/Expert,FT,Data Scientist,190200,US,100,US,M
2020,Mid-level/Intermediate,FT,Data Scientist,118000,US,100,US,M
2020,Mid-level/Intermediate,FT,Data Scientist,138350,US,100,US,M
2020,Mid-level/Intermediate,FT,Data Engineer,130800,ES,100,US,M
2020,Senior-level/Expert,FT,Machine Learning Engineer,45618,HR,100,HR,S
2020,Senior-level/Expert,FT,Data Scientist,412000,US,100,US,L
2020,Entry-level/Junior,FT,Data Scientist,105000,US,100,US,S
2020,Entry-level/Junior,CT,Business Data Analyst,100000,US,100,US,L
