job_id,work_year,employee_residence,experience_level,employment_type,employment_type_full,company_size,job_title,location_id
job_1,2020,MUS,Entry-level/Junior,FT,Full-Time,S,Azure Data Engineer,1
job_2,2020,CAN,Entry-level/Junior,CT,Contract,L,Staff Data Analyst,2
job_3,2020,USA,Senior-level/Expert,FT,Full-Time,M,Staff Data Scientist,3
job_4,2020,DEU,Entry-level/Junior,FT,Full-Time,L,Data Analyst,4
job_5,2020,USA,Executive-level/Director,FT,Full-Time,L,Data Scientist,3
job_6,2020,NGA,Mid-level/Intermediate,CT,Contract,M,Sales Data Analyst,5
job_7,2020,NGA,Executive-level/Director,FT,Full-Time,M,Staff Data Analyst,2
job_8,2020,USA,Mid-level/Intermediate,FT,Full-Time,M,Business Data Analyst,3
job_9,2020,PRT,Entry-level/Junior,FT,Full-Time,M,Data Analyst,6
job_10,2020,DEU,Entry-level/Junior,FT,Full-Time,S,Data Scientist,4
job_11,2020,CAN,Senior-level/Expert,FT,Full-Time,L,Machine Learning Manager,2
job_12,2020,PAK,Entry-level/Junior,FT,Full-Time,L,Data Engineer,4
job_13,2020,HND,Mid-level/Intermediate,FT,Full-Time,S,Product Data Analyst,7
job_14,2020,DEU,Mid-level/Intermediate,FT,Full-Time,S,Data Engineer,4
job_15,2020,USA,Entry-level/Junior,FT,Full-Time,L,Big Data Engineer,3
job_16,2020,GRC,Senior-level/Expert,FT,Full-Time,L,Data Scientist,3
job_17,2020,USA,Mid-level/Intermediate,FT,Full-Time,M,Research Scientist,3
job_18,2020,FRA,Mid-level/Intermediate,FT,Full-Time,L,Data Analyst,8
job_19,2020,AUT,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,9
job_20,2020,USA,Mid-level/Intermediate,FT,Full-Time,L,Data Scientist,3
job_21,2020,USA,Entry-level/Junior,FT,Full-Time,L,Machine Learning Engineer,3
job_22,2020,USA,Entry-level/Junior,FT,Full-Time,S,Machine Learning Engineer,3
job_23,2020,PHL,Mid-level/Intermediate,FT,Full-Time,S,Data Scientist,3
job_24,2020,ESP,Executive-level/Director,FT,Full-Time,L,Data Engineer,10
job_25,2020,PRT,Mid-level/Intermediate,FT,Full-Time,M,Machine Learning Infrastructure Engineer,6
job_26,2020,USA,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,3
job_27,2020,GBR,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,11
job_28,2020,DEU,Entry-level/Junior,PT,Part-Time,S,Machine Learning Engineer,4
job_29,2020,GBR,Mid-level/Intermediate,FT,Full-Time,S,Data Scientist,11
job_30,2020,USA,Senior-level/Expert,FT,Full-Time,L,Data Engineer,3
job_31,2020,USA,Mid-level/Intermediate,FT,Full-Time,L,Data Scientist,3
job_32,2020,FRA,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,8
job_33,2020,MEX,Senior-level/Expert,FT,Full-Time,S,Data Engineer,12
job_34,2020,USA,Entry-level/Junior,FT,Full-Time,L,Data Analyst,3
job_35,2020,NLD,Entry-level/Junior,FT,Full-Time,L,Research Scientist,13
job_36,2020,ARE,Mid-level/Intermediate,FT,Full-Time,L,Lead Data Scientist,14
job_37,2020,JPN,Senior-level/Expert,FT,Full-Time,S,Machine Learning Scientist,15
job_38,2020,GBR,Senior-level/Expert,FT,Full-Time,M,Big Data Engineer,11
job_39,2020,DEU,Mid-level/Intermediate,FT,Full-Time,L,Data Scientist,4
job_40,2020,USA,Senior-level/Expert,FT,Full-Time,L,Machine Learning Engineer,3
job_41,2020,USA,Entry-level/Junior,FT,Full-Time,L,Data Analyst,3
job_42,2020,USA,Senior-level/Expert,FT,Full-Time,S,Lead Data Scientist,3
job_43,2020,HUN,Mid-level/Intermediate,FT,Full-Time,L,Data Scientist,16
job_44,2020,USA,Mid-level/Intermediate,FT,Full-Time,L,Business Data Analyst,3
job_45,2020,NZL,Senior-level/Expert,FT,Full-Time,S,Lead Data Engineer,17
