title_id,job_title
1,Azure Data Engineer
2,Staff Data Analyst
3,Staff Data Scientist
4,Data Analyst
5,Data Scientist
6,Sales Data Analyst
7,Business Data Analyst
8,Machine Learning Manager
9,Data Engineer
10,Product Data Analyst
11,Big Data Engineer
12,Research Scientist
13,Machine Learning Engineer
14,Machine Learning Infrastructure Engineer
15,Lead Data Scientist
16,Machine Learning Scientist
17,Lead Data Engineer
18,Lead Data Analyst
19,BI Data Analyst
20,AI Scientist
21,Computer Vision Engineer
22,Principal Data Scientist
23,Staff Machine Learning Engineer
24,Machine Learning Developer
25,Marketing Data Engineer
26,Autonomous Vehicle Technician
27,Machine Learning Research Engineer
28,Computer Vision Software Engineer
29,Cloud Data Architect
30,Head of Data
31,Applied Machine Learning Scientist
32,Applied Data Scientist
33,Principal Data Engineer
34,Data Architect
35,Data Analytics Manager
36,Data Analytics Engineer
37,Marketing Data Analyst
38,Cloud Data Engineer
39,Principal Data Analyst
40,Big Data Architect
41,Finance Data Analyst
42,Data Specialist
43,Software Development Engineer
44,Head of Business Intelligence
45,AI Engineer
46,AI Architect
47,BI Analyst
48,Admin & Data Analyst
49,AI Research Engineer
50,Research Engineer
51,Business Intelligence Developer
52,AI Developer
53,BI Developer
54,Machine Learning Software Engineer
55,Manager Data Management
56,AI Programmer
57,Cloud Database Engineer
58,Applied Scientist
59,NLP Engineer
60,Analytics Engineer
61,MLOps Engineer
62,Principal Machine Learning Engineer
63,Machine Learning Researcher
64,Data Analytics Consultant
65,Deep Learning Engineer
66,Data Management Specialist
67,Data Science Tech Lead
68,Data Scientist Lead
69,Data Manager
70,Data Operations Analyst
71,Data Operations Engineer
72,Principal Data Architect
73,Lead Machine Learning Engineer
74,ETL Developer
75,Financial Data Analyst
76,Head of Machine Learning
77,Data Analytics Lead
78,Data DevOps Engineer
79,Prompt Engineer
80,Data Modeler
81,Research Analyst
82,Data Strategist
83,Business Intelligence Analyst
84,Data Quality Manager
85,Business Intelligence Engineer
86,Data Product Manager
87,Business Intelligence Manager
88,AI Product Manager
89,Data Product Owner
90,Data Developer
91,Data Lead
92,Data Integration Engineer
93,Data Management Analyst
94,Data Visualization Specialist
95,Data Analyst Lead
96,Marketing Data Scientist
97,Insight Analyst
98,Data Quality Analyst
99,Machine Learning Modeler
100,Data Integration Specialist
101,Business Intelligence Specialist
102,Data Quality Engineer
103,Decision Scientist
104,Data Strategy Manager
105,Data Visualization Engineer
106,Data Infrastructure Engineer
107,Power BI Developer
108,Consultant Data Engineer
109,Machine Learning Specialist
110,Business Intelligence Data Analyst
111,Data Operations Manager
112,Software Data Engineer
113,Compliance Data Analyst
114,Data Operations Specialist
115,Analytics Engineering Manager
116,AWS Data Architect
117,Data Visualization Analyst
118,Applied Machine Learning Engineer
119,ETL Engineer
120,BI Data Engineer
121,Deep Learning Researcher
122,Data Analytics Specialist
123,Manager
124,Software Engineer
125,Associate
126,Software Developer
127,Business Analyst
128,Product Manager
129,Site Reliability Engineer
130,Engineer
131,Consultant
132,Engineering Manager
133,Systems Engineer
134,Solutions Architect
135,Technical Lead
136,Full Stack Engineer
137,DevOps Engineer
138,Data Operations Associate
139,Python Developer
140,BI Engineer
141,Solutions Engineer
142,Platform Engineer
143,Quantitative Researcher
144,Machine Learning Architect
145,Data Governance Engineer
146,Business Intelligence
147,ML Infrastructure Engineer
148,Cloud Engineer
149,Backend Engineer
150,Data Management Consultant
151,AI Specialist
152,Lead Engineer
153,Master Data Management
154,Data Integration Developer
155,AI Solution Architect
156,Data Team Lead
157,Machine Learning Model Engineer
158,Security Engineer
159,Artificial Intelligence Engineer
160,AI Researcher
161,Director of Machine Learning
162,Fullstack Engineer
163,Product Analyst
164,Marketing Analytics Manager
165,Applied AI ML Lead
166,Research Associate
167,Data Management Lead
168,Encounter Data Management Professional
169,DataOps Engineer
170,Data Governance Specialist
171,Statistical Programmer
172,Data Analytics Developer
173,Data Governance Analyst
174,Data Reporting Analyst
175,Full Stack Developer
176,Data Product Analyst
177,Data Strategy Lead
178,Robotics Engineer
179,Elasticsearch Administrator
180,Data Visualization Developer
181,Machine Learning Platform Engineer
182,Data Quality Specialist
183,People Data Analyst
184,Data Integrity Analyst
185,Computational Biologist
186,Data Governance Lead
187,Frontend Engineer
188,Cloud Database Administrator
189,AI Research Scientist
190,Machine Learning Quality Engineer
191,Data Governance Manager
192,Business Intelligence Lead
193,SAS Developer
194,Bear Robotics
195,Data Analytics Team Lead
196,Principal Statistical Programmer
197,Head of AI
198,Data Management Manager
199,Data Integration Coordinator
200,Data Integration Analyst
201,Data Analytics Associate
202,Data Management Associate
203,Business Intelligence Consultant
204,Robotics Software Engineer
205,AI Data Scientist
206,AI Software Engineer
207,Lead AI Engineer
208,AI Software Development Engineer
209,Master Data Specialist
210,Director of Business Intelligence
211,Applied Research Scientist
212,CRM Data Analyst
213,Big Data Developer
214,Quantitative Research Analyst
215,Data Pipeline Engineer
