job_id,salary_in_usd
job_1,100000
job_2,44753
job_3,164000
job_4,47899
job_5,300000
job_6,60000
job_7,15000
job_8,95000
job_9,22809
job_10,49268
job_11,117104
job_12,54742
job_13,20000
job_14,59303
job_15,70000
job_16,68428
job_17,450000
job_18,46759
job_19,74130
job_20,103000
job_21,250000
job_22,138000
job_23,45760
job_24,79833
job_25,50180
job_26,106000
job_27,112872
job_28,15966
job_29,76958
job_30,188000
job_31,105000
job_32,70139
job_33,33511
job_34,91000
job_35,42000
job_36,115000
job_37,260000
job_38,109024
job_39,79833
job_40,150000
job_41,72000
job_42,190000
job_43,35735
job_44,135000
job_45,125000
job_46,51321
job_47,40481
job_48,39916
job_49,87000
job_50,85000
job_51,41689
job_52,114047
job_53,56000
job_54,47899
job_55,98000
job_56,325000
job_57,45896
job_58,42197
job_59,62726
job_60,21669
job_61,110000
job_62,120000
job_63,60000
job_64,148261
job_65,38776
job_66,91237
job_67,62726
job_68,190200
job_69,118000
job_70,138350
job_71,130800
job_72,45618
job_73,412000
job_74,105000
job_75,100000
job_76,185000
job_77,56000
job_78,60000
job_79,150000
job_80,30000
job_81,66970
job_82,54094
job_83,16904
job_84,115000
job_85,45555
job_86,75050
job_87,42028
job_88,20000
job_89,15000
job_90,45390
job_91,19073
job_92,50000
job_93,250000
job_94,51064
job_95,109000
job_96,102839
job_97,69999
job_98,150000
job_99,240000
job_100,135000
job_101,80000
job_102,220000
job_103,77364
job_104,63711
job_105,90000
job_106,100000
job_107,24000
job_108,38400
job_109,82500
job_110,49646
job_111,40570
job_112,20000
job_113,120000
job_114,110037
job_115,50000
job_116,200000
job_117,60000
job_118,200000
job_119,100000
job_120,100000
job_121,82744
job_122,62649
job_123,82528
job_124,170000
job_125,150000
job_126,55000
job_127,250000
job_128,80000
job_129,130026
job_130,63831
job_131,85000
job_132,230000
job_133,125000
job_134,120000
job_135,127221
job_136,144000
job_137,75774
job_138,150000
job_139,153000
job_140,90000
job_141,90000
job_142,60000
job_143,50000
job_144,270000
job_145,54238
job_146,47282
job_147,153667
job_148,28476
job_149,110000
job_150,82528
job_151,59102
job_152,80000
job_153,140000
job_154,79197
job_155,170000
job_156,80000
job_157,100000
job_158,53192
job_159,235000
job_160,150000
job_161,225000
job_162,76833
job_163,88654
job_164,103160
job_165,113476
job_166,94564
job_167,30428
job_168,150000
job_169,115000
job_170,187442
job_171,51519
job_172,36259
job_173,150000
job_174,95746
job_175,70000
job_176,89294
job_177,29751
job_178,276000
job_179,160000
job_180,200000
job_181,174000
job_182,93000
job_183,28399
job_184,60757
job_185,90000
job_186,170000
job_187,96282
job_188,36643
job_189,72212
job_190,99703
job_191,165000
job_192,80000
job_193,103691
job_194,21637
job_195,63810
job_196,110000
job_197,180000
job_198,200000
job_199,200000
job_200,256000
job_201,110000
job_202,72500
job_203,185000
job_204,69741
job_205,100000
job_206,112000
job_207,20171
job_208,55000
job_209,58000
job_210,100000
job_211,77684
job_212,85000
job_213,76833
job_214,105000
job_215,65013
job_216,28016
job_217,111775
job_218,93150
job_219,160000
job_220,25532
job_221,66265
job_222,16904
job_223,63831
job_224,141846
job_225,16228
job_226,71786
job_227,135000
job_228,24823
job_229,54094
job_230,24342
job_231,147000
job_232,96113
job_233,174000
job_234,21844
job_235,69741
job_236,50000
